iteration	profile_id	auprc	type
0	0	0.012454852618930564	train
0	1	0.012750183000252805	train
0	2	0.012260477917929705	train
0	3	0.014626361859982992	train
0	4	0.06427040636431505	train
0	5	0.014878719553952688	train
0	6	0.022073951640028736	train
0	7	0.014920209115715554	train
0	8	0.035372346977284086	train
0	9	0.013392357000410002	train
0	10	0.01369008695676469	train
0	11	0.012203479592905537	train
0	12	0.015526592028137649	train
0	13	0.015392928760093988	train
0	14	0.013478525420644757	train
0	15	0.0394874958392868	train
0	16	0.15920585182268238	train
0	17	0.012753665161981209	train
0	18	0.08214517403139691	train
0	19	0.014288584590572927	train
0	20	0.0123780955274368	train
0	21	0.027430363282400005	train
0	22	0.012060504104744078	train
0	23	0.012519201439928207	train
0	24	0.013159255662844788	train
0	25	0.012391024574022804	train
0	26	0.013148684919528066	train
0	27	0.012865252675436891	train
0	28	0.018035169135207998	train
0	29	0.012306672210044988	train
0	30	0.013967838490110122	train
0	31	0.012702660594206548	train
0	32	0.016906883036853167	train
0	33	0.03175451044338303	train
0	34	0.09375980462635815	train
0	35	0.012187900861835837	train
0	36	0.01578841765113169	train
0	37	0.015342145463332861	train
0	38	0.02893811007793347	train
0	39	0.013057304388412301	train
0	40	0.012582920471815267	train
0	41	0.02044774336860865	train
0	42	0.019096319420768327	train
0	43	0.012580753594079043	train
0	44	0.019724739572302	train
0	45	0.01601238904289817	train
0	46	0.02178878134285795	train
0	47	0.012222423614436023	train
0	48	0.013173779765592829	train
0	49	0.019741203464299088	train
0	50	0.013204438813293041	train
0	51	0.015011397583149401	train
0	52	0.012051104273011445	train
0	53	0.04528722867192501	train
0	54	0.015527932063929547	train
0	55	0.02099523350664558	train
0	56	0.030515812684041847	train
0	57	0.02547188905787796	train
0	58	0.01970916447947418	train
0	59	0.01414665417296922	train
0	60	0.013324967226076304	train
0	61	0.0468925886378163	train
0	62	0.03784311182035727	train
0	63	0.027518860736524882	train
0	64	0.0233334400693571	train
0	65	0.012008693352772088	train
0	66	0.012290149597550827	train
0	67	0.012583067177037329	train
0	68	0.012696398645331172	train
0	69	0.013017353991642115	train
0	70	0.014343887564990884	train
0	71	0.019106164078867553	train
0	72	0.01293674145340236	train
0	73	0.022197735485926698	train
